,mean_abs_shap
Log_Income,2.6170313
Household_Size,0.57546914
Groceries_Share,0.55460244
Utilities_Share,0.31360358
Clothing_Footwear_Share,0.22036088
Max_Adult_Education,0.21505535
Debt_To_Income_W,0.2035776
Transport_Share,0.17705163
Healthcare_Share,0.1401823
Occupation_Non_Ag_Labour,0.13896468
Education_Share,0.13324732
Dependency_Ratio,0.121438
Area_Type_Other_Urban,0.10183434
Spends_On_Insurance,0.10156975
Miscellaneous_Share,0.10145088
Area_Type_Metro_Urban,0.098043464
Area_Type_Less_Developed_Village,0.093084306
Spends_On_Entertainment,0.08394681
Entertainment_Share,0.07833762
Insurance_Share,0.06074494
